cluster_size,0.15,0.2,0.25
2,12075954.0,6676663.0,2583955.0
3,5992202.0,3751304.0,1783620.0
4,3484360.0,2285949.0,1268321.0
5,2244054.0,1481584.0,922166.0
6,1553841.0,1003421.0,688892.0
7,1138897.0,721450.0,523833.0
8,878318.0,533934.0,401743.0
9,681132.0,413693.0,323529.0
10,553101.0,328439.0,262161.0
11,451199.0,256656.0,209412.0
12,377819.0,216999.0,179845.0
13,322947.0,179232.0,147879.0
14,281559.0,153693.0,123861.0
15,239078.0,133667.0,108402.0
16,212605.0,113464.0,93440.0
17,184618.0,103201.0,81049.0
18,165580.0,90667.0,70956.0
19,148323.0,83619.0,61780.0
20,132057.0,72658.0,56526.0
21,121232.0,65574.0,50979.0
22,106471.0,57644.0,44875.0
23,100711.0,56018.0,40022.0
24,89080.0,48353.0,37106.0
25,84080.0,46134.0,34196.0
26,76830.0,41257.0,30555.0
27,69856.0,39345.0,27745.0
28,65008.0,36143.0,25241.0
29,60825.0,33392.0,23153.0
30,55410.0,32093.0,21697.0
31,52834.0,30032.0,19877.0
32,49209.0,27129.0,18766.0
33,46012.0,26366.0,16669.0
34,43070.0,25118.0,16613.0
35,39973.0,22551.0,14964.0
36,38032.0,21189.0,14178.0
37,36442.0,20819.0,13207.0
38,35004.0,19413.0,12434.0
39,30785.0,18570.0,11713.0
40,30243.0,16869.0,10406.0
41,29370.0,16550.0,10357.0
42,27982.0,16804.0,9953.0
43,25000.0,15591.0,8899.0
44,25651.0,14858.0,9239.0
45,23369.0,13817.0,8148.0
46,22672.0,13466.0,8134.0
47,21545.0,13167.0,7462.0
48,22008.0,12009.0,7177.0
49,20492.0,12393.0,6756.0
50,18679.0,11959.0,6112.0
51,19120.0,11098.0,6153.0
52,18157.0,11175.0,6015.0
53,17009.0,10282.0,5511.0
54,16638.0,10186.0,5237.0
55,15953.0,8995.0,5271.0
56,15902.0,9235.0,4884.0
57,14650.0,8110.0,4563.0
58,14095.0,8038.0,4408.0
59,13930.0,8837.0,4422.0
60,12595.0,7498.0,4098.0
61,12608.0,7559.0,4014.0
62,12098.0,8311.0,3951.0
63,11020.0,7883.0,3486.0
64,11127.0,7331.0,3929.0
65,10589.0,6462.0,3655.0
66,10518.0,7249.0,3406.0
67,10378.0,6603.0,3288.0
68,10607.0,6059.0,3144.0
69,9689.0,6372.0,3053.0
70,9548.0,6256.0,3033.0
71,9197.0,5449.0,3034.0
72,8297.0,5425.0,3003.0
73,8367.0,5770.0,2832.0
74,8637.0,5151.0,2415.0
75,7580.0,5105.0,2580.0
76,8351.0,4979.0,2576.0
77,7527.0,5257.0,2340.0
78,7448.0,5394.0,2606.0
79,7160.0,4466.0,2351.0
80,6765.0,5015.0,2477.0
81,6785.0,4391.0,2020.0
82,6468.0,4025.0,2286.0
83,6689.0,4273.0,1979.0
84,6355.0,4152.0,2084.0
85,6304.0,3930.0,2042.0
86,5846.0,4016.0,2072.0
87,5694.0,3710.0,1922.0
88,5776.0,3714.0,1879.0
89,5434.0,3822.0,1733.0
90,5145.0,3606.0,1707.0
91,5487.0,3153.0,1543.0
92,5434.0,3527.0,1669.0
93,5204.0,3550.0,1681.0
94,4411.0,3525.0,1573.0
95,4798.0,3434.0,1373.0
96,5027.0,3308.0,1476.0
97,4668.0,2688.0,1330.0
98,4173.0,2776.0,1556.0
99,4285.0,2431.0,1438.0
100,4359.0,2606.0,1312.0
101,4577.0,2853.0,1348.0
102,4002.0,2981.0,1296.0
103,4066.0,2572.0,1262.0
104,4141.0,2797.0,1079.0
105,3646.0,2347.0,1084.0
106,3876.0,2469.0,1241.0
107,3429.0,2512.0,1083.0
108,3712.0,2116.0,1084.0
109,3355.0,2337.0,1184.0
110,3257.0,2375.0,1199.0
111,3525.0,2233.0,1146.0
112,3567.0,2089.0,1053.0
113,3464.0,2279.0,993.0
114,3364.0,2432.0,1127.0
115,2880.0,2074.0,971.0
116,3056.0,2110.0,1054.0
117,2991.0,2322.0,999.0
118,3420.0,2414.0,964.0
119,3001.0,1722.0,992.0
120,2958.0,2203.0,782.0
121,2987.0,2057.0,908.0
122,2924.0,2219.0,903.0
123,2972.0,1908.0,843.0
124,3066.0,1747.0,900.0
125,2784.0,1881.0,823.0
126,2787.0,1820.0,794.0
127,2448.0,2036.0,820.0
128,2413.0,1729.0,774.0
129,2727.0,1727.0,802.0
130,2453.0,1734.0,811.0
131,2527.0,1616.0,841.0
132,2684.0,1879.0,840.0
133,2573.0,1538.0,663.0
134,2209.0,1662.0,637.0
135,2088.0,1462.0,826.0
136,2177.0,1487.0,753.0
137,2268.0,1449.0,649.0
138,2309.0,1860.0,723.0
139,2266.0,1510.0,664.0
140,2142.0,1414.0,564.0
141,2246.0,1560.0,631.0
142,1903.0,1493.0,587.0
143,1894.0,1151.0,591.0
144,2077.0,1482.0,634.0
145,2088.0,1310.0,602.0
146,2136.0,1247.0,626.0
