cluster_size,0.125,0.175,0.18,0.225,0.23,0.35,0.4
2,15719381.0,9516852.0,9070746.0,4378690.0,4112833.0,9653.0,19.0
3,7662227.0,4797752.0,4680748.0,2680416.0,2567568.0,8742.0,14.0
4,4378072.0,2687158.0,2649563.0,1727294.0,1693320.0,8646.0,9.0
5,2804922.0,1649848.0,1649794.0,1157320.0,1154935.0,9249.0,18.0
6,1939778.0,1108341.0,1104255.0,814326.0,808283.0,8558.0,12.0
7,1411286.0,784483.0,783558.0,583885.0,593996.0,8421.0,14.0
8,1064876.0,588915.0,584278.0,438840.0,443161.0,8648.0,15.0
9,833652.0,458682.0,453252.0,339786.0,340651.0,7573.0,32.0
10,668680.0,367870.0,356065.0,264653.0,270535.0,7639.0,14.0
11,544747.0,303789.0,296029.0,213639.0,217241.0,6880.0,1.0
12,457318.0,250825.0,249216.0,172145.0,177551.0,7357.0,23.0
13,386714.0,215298.0,209636.0,143327.0,143217.0,7673.0,8.0
14,327969.0,186543.0,181082.0,116796.0,119675.0,6965.0,19.0
15,285694.0,162688.0,154376.0,100952.0,101404.0,7084.0,1.0
16,251553.0,142519.0,137721.0,87376.0,89501.0,6650.0,10.0
17,216626.0,129232.0,121144.0,75519.0,78616.0,5940.0,12.0
18,195598.0,109792.0,105860.0,67472.0,66126.0,5898.0,14.0
19,171830.0,101704.0,96104.0,57603.0,58332.0,6116.0,3.0
20,153580.0,89587.0,86107.0,52278.0,52094.0,5866.0,14.0
21,140777.0,83309.0,80604.0,46837.0,46906.0,5663.0,17.0
22,127605.0,74002.0,72776.0,41735.0,41476.0,6009.0,3.0
23,115670.0,69864.0,67584.0,37202.0,37258.0,5283.0,25.0
24,103592.0,62347.0,61383.0,32787.0,35352.0,5072.0,9.0
25,96627.0,55398.0,56213.0,30876.0,30299.0,5290.0,2.0
26,88304.0,53426.0,51283.0,29170.0,28057.0,5273.0,30.0
27,82160.0,47465.0,47090.0,25500.0,24458.0,4940.0,8.0
28,74956.0,44627.0,42990.0,23970.0,23146.0,5321.0,7.0
29,70680.0,41725.0,41783.0,22055.0,22018.0,4720.0,30.0
30,65700.0,39073.0,39340.0,20083.0,18795.0,4409.0,22.0
31,61715.0,36578.0,35343.0,18763.0,17670.0,3886.0,2.0
32,57789.0,33795.0,34316.0,17845.0,17256.0,4276.0,5.0
33,53978.0,32031.0,33639.0,16927.0,15830.0,4045.0,15.0
34,50678.0,30555.0,30613.0,15650.0,15094.0,4146.0,5.0
35,47911.0,28357.0,27922.0,14537.0,14238.0,4035.0,4.0
36,44321.0,27842.0,26288.0,13398.0,13410.0,3952.0,0.0
37,41968.0,26382.0,24946.0,13181.0,12481.0,3732.0,21.0
38,40624.0,25326.0,22989.0,11325.0,11782.0,3891.0,21.0
39,37205.0,24148.0,22201.0,11661.0,11504.0,3622.0,1.0
40,35064.0,22203.0,21679.0,10363.0,10437.0,3286.0,8.0
41,33826.0,20015.0,20032.0,10476.0,9924.0,3235.0,5.0
42,31520.0,19895.0,19594.0,9615.0,9368.0,3167.0,7.0
43,30640.0,18600.0,17975.0,9570.0,8454.0,3365.0,4.0
44,28970.0,18618.0,18222.0,8947.0,7885.0,2872.0,15.0
45,28049.0,17902.0,17063.0,8424.0,7789.0,3185.0,17.0
46,25679.0,16328.0,16341.0,7488.0,7685.0,3173.0,1.0
47,25237.0,15402.0,15260.0,7579.0,7000.0,2886.0,14.0
48,24761.0,15326.0,14619.0,6797.0,7159.0,2908.0,40.0
49,23890.0,14743.0,14924.0,6820.0,6493.0,3037.0,17.0
50,22147.0,13093.0,13135.0,6468.0,6340.0,2774.0,11.0
51,20971.0,13181.0,12910.0,6205.0,5976.0,2928.0,10.0
